Продукт,"Бел, г","Жир, г","Угл, г","Кал, ккал"
Пшенно-гречневые хлопья Алтайская сказка,12.5,3.2,66.9,347.0
Пшенно-рисовые хлопья Агро-Альянс,10.0,4.0,73.0,370.0
Пшенные хлопья Nordic,12.0,2.9,69.3,334.0
Пшено элитное Агро-Альянс,12.0,3.0,69.0,350.0
Пюре Gerber Абрикос с творогом,1.3,3.2,13.5,90.0
Пюре Gerber Абрикос со сливками,1.0,3.5,13.0,90.0
Пюре Gerber Банан,0.9,0.3,18.5,80.0
Пюре Gerber Банан и лесные ягоды,0.1,0.3,17.4,98.0
Пюре Gerber Банан с творогом,1.4,3.2,13.5,90.0
Пюре Gerber Банан со сливками,1.2,3.2,13.5,90.0
Пюре Gerber Бефстроганов с овощами,2.8,2.9,7.0,70.0
Пюре Gerber Говядина по-домашнему с морковью,2.8,2.9,7.0,70.0
Пюре Gerber Груша со сливками,0.9,3.0,14.9,85.0
Пюре Gerber Груши Вильямс,0.6,0.2,12.3,53.0
Пюре Gerber Зелёный горошек,3.3,0.3,5.0,36.0
Пюре Gerber Индейка по-домашнему с фенхелем,2.9,3.1,8.0,75.0
Пюре Gerber Клубника с творогом,1.1,3.4,12.5,85.0
Пюре Gerber Клубника со сливками,1.0,3.2,12.5,85.0
Пюре Gerber Морковь,1.0,0.2,5.1,27.0
Пюре Gerber Овощи с фрикадельками из говядины,2.6,2.6,9.1,70.0
Пюре Gerber Персик со сливками,1.2,3.2,13.5,90.0
Пюре Gerber Рагу из индейки с рисом,2.8,2.6,8.0,70.0
Пюре Gerber Спагетти с цыпленком,3.5,3.0,7.5,75.0
Пюре Gerber Филе сайды с овощами и рисом,3.7,2.9,8.0,75.0
Пюре Gerber Чернослив,1.0,0.3,16.7,74.0
Пюре Gerber Яблоко абрикос банан,0.7,0.1,15.5,66.0
Пюре Gerber Яблоко и черника,0.4,0.4,10.1,46.0
Пюре Gerber Яблоко с лесными ягодами,0.5,0.4,9.8,45.0
Пюре Gerber Яблоко с шиповником,1.5,0.2,12.0,52.0
Пюре Бабушкино Лукошко Абрикос,0.0,0.0,9.0,36.0
Пюре Бабушкино Лукошко Брокколи,0.0,0.0,3.3,13.0
Пюре Бабушкино Лукошко Говядина,8.5,12.0,0.0,140.0
Пюре Бабушкино Лукошко Говядина Кабачок,5.5,6.0,7.6,130.0
Пюре Бабушкино Лукошко Говядина Овощи,3.0,6.0,5.0,86.0
Пюре Бабушкино Лукошко Говядина Тыква,5.5,6.0,6.1,130.0
Пюре Бабушкино Лукошко Говядина Цветная капуста,3.0,6.0,6.5,92.0
Пюре Бабушкино Лукошко Горбуша Картофель,4.5,5.0,10.0,110.0
Пюре Бабушкино Лукошко Груша,0.0,0.0,9.5,40.0
Пюре Бабушкино Лукошко Груша Творог,0.5,1.7,9.0,53.0
Пюре Бабушкино Лукошко Груша Яблоко,0.0,0.0,9.5,40.0
Пюре Бабушкино Лукошко Индейка,8.5,12.0,0.0,140.0
Пюре Бабушкино Лукошко Кабачок Молоко,2.1,4.0,8.8,80.0
Пюре Бабушкино Лукошко Кабачок-Морковь Молоко,2.1,4.0,11.0,88.0
Пюре Бабушкино Лукошко Конина,8.5,9.0,0.0,131.0
Пюре Бабушкино Лукошко Кролик,8.5,11.0,2.4,143.0
Пюре Бабушкино Лукошко Кролик Овощи,3.0,6.0,5.0,86.0
Пюре Бабушкино Лукошко Кролик Цветная капуста,3.0,6.0,6.5,92.0
Пюре Бабушкино Лукошко Морковь Яблоко,0.0,0.0,12.0,48.0
Пюре Бабушкино Лукошко Мясо цыплят с гречкой,5.5,6.0,6.6,130.0
Пюре Бабушкино Лукошко Оленина,8.5,9.0,0.0,131.0
Пюре Бабушкино Лукошко Персик Творог,0.5,1.7,9.0,53.0
Пюре Бабушкино Лукошко Сёмга Овощи,8.5,11.0,2.4,143.0
Пюре Бабушкино Лукошко Треска Картофель,4.5,5.0,10.0,110.0
Пюре Бабушкино Лукошко Тыква,0.0,0.0,4.6,18.0
Пюре Бабушкино Лукошко Тыква Яблоко,0.0,0.0,12.1,48.0
Пюре Бабушкино Лукошко Тыква-Рис Молоко,1.5,4.0,13.0,94.0
Пюре Бабушкино Лукошко Цветная капуста,0.0,0.0,4.2,17.0
Пюре Бабушкино Лукошко Цыплёнок,7.0,9.0,7.0,137.0
Пюре Бабушкино Лукошко Цыплёнок Овощи,3.0,6.0,5.0,86.0
Пюре Бабушкино Лукошко Чернослив,0.0,0.0,23.7,95.0
Пюре Бабушкино Лукошко Чернослив Творог,0.5,1.7,9.0,53.0
Пюре Бабушкино Лукошко Яблоко,0.0,0.0,10.8,45.0
Пюре Бабушкино Лукошко Яблоко Абрикос,0.0,0.0,14.1,59.0
Пюре Бабушкино Лукошко Яблоко Слива,0.0,0.0,13.5,54.0
Пюре Бабушкино Лукошко Яблоко Сливки,0.6,1.0,14.0,66.0
Пюре Бабушкино Лукошко Яблоко Творог,0.5,1.7,12.0,65.0
Пюре Бабушкино Лукошко Яблоко Черника,0.0,0.0,16.9,68.0
Пюре из абрикосов,0.9,0.1,9.0,38.0
Пюре из апельсинов,0.9,0.2,8.5,40.0
Пюре из бананов,1.5,0.1,21.0,89.0
Пюре из брокколи,2.8,0.4,6.6,34.0
Пюре из вишни,0.9,0.2,10.9,57.0
Пюре из груш,0.2,0.0,13.0,52.0
Пюре из зеленого горошка,5.0,0.2,13.8,73.0
Пюре из кабачков,0.6,0.3,4.6,24.0
Пюре из клубники,0.5,0.1,14.9,60.0
Пюре из клюквы,0.5,0.0,6.2,27.0
Пюре из кукурузы,8.3,1.2,71.0,328.0
Пюре из малины,0.2,0.1,11.2,48.0
Пюре из манго,0.2,0.3,14.0,60.0
Пюре из моркови,0.7,0.1,5.0,24.0
Пюре из мяса,8.5,11.0,2.4,145.0
Пюре из овощей,0.9,0.1,5.6,24.0
Пюре из персиков,0.0,0.0,20.1,82.0
Пюре из свеклы,2.2,1.7,12.6,70.0
Пюре из слив,0.8,0.0,8.4,40.0
Пюре из томатов,3.6,0.0,11.8,66.0
Пюре из тыквы,1.7,6.2,6.3,88.0
Пюре из фруктов,0.0,0.0,14.4,60.0
Пюре из фруктов и овощей,0.4,0.1,12.2,52.0
Пюре из цветной капусты,1.6,0.7,5.4,33.0
Пюре из яблок,0.6,0.2,19.0,82.0
Пюре Спелёнок Груша с витамином С.,0.2,0.0,13.0,52.0
Пюре Спелёнок Груша с овсянкой,0.6,1.0,11.5,48.0
Пюре Спелёнок Морковь с витамином С.,0.0,0.0,7.0,28.0
Пюре Спелёнок Персик,0.0,0.0,13.0,52.0
Пюре Спелёнок Персик + Банан + Яблоко со сливками,0.0,1.5,16.0,77.0
Пюре Спелёнок Тыква с витамином С.,0.0,0.0,7.0,28.0
Пюре Спелёнок Яблоко + 4 злака,0.6,1.0,11.5,48.0
Пюре Спелёнок Яблоко + 4 злака со сливками,0.6,1.0,11.5,57.0
Пюре Спелёнок Яблоко + Груша + Персик с творогом,2.0,0.0,13.0,60.0
Пюре Спелёнок Яблоко + Груша + Слива со сливками,0.5,1.5,16.0,77.0
Пюре Спелёнок Яблоко + Клубника со сливками,0.5,1.5,16.0,77.0
Пюре Спелёнок Яблоко с витамином С.,0.3,0.0,11.0,44.0
Пюре Спелёнок Яблоко с творогом,2.0,0.0,15.0,68.0
Пюре Спелёнок Яблоко со сливками,0.0,1.5,16.0,77.0
Пюре Тёма Говядина с кабачками,5.0,6.0,5.9,100.0
Пюре Тёма Говядина с рисом,5.5,6.0,5.8,99.0
Пюре Тёма Говядина с сердцем,9.0,9.0,2.4,145.0
Пюре Тёма Говядина с языком,9.0,9.0,2.4,145.0
Пюре Тёма Кролик,8.5,11.0,2.4,143.0
Пюре Тёма Мясо цыплят с говядиной,10.0,12.0,3.5,162.0
Пюре Тёма Петушок,9.0,9.0,2.4,126.0
Пюре Тёма Свинина,8.5,11.0,2.4,143.0
Пюре ФрутоНяня Брокколи,1.0,0.0,4.0,20.0
Пюре ФрутоНяня Витаминный салатик,0.0,0.0,15.3,61.0
Пюре ФрутоНяня из говядины с печенью,10.0,7.0,0.0,103.0
Пюре ФрутоНяня из говядины с языком и сердцем,10.5,7.0,0.0,105.0
Пюре ФрутоНяня из мяса ягненка,13.5,10.0,0.0,144.0
Пюре ФрутоНяня из свинины,14.5,12.0,0.0,166.0
Пюре ФрутоНяня из слив,0.0,0.0,12.3,49.0
Пюре ФрутоНяня из телятины,12.5,6.0,0.0,104.0
Пюре ФрутоНяня из цветной капусты,1.0,0.0,4.0,20.0
Пюре ФрутоНяня из цыпленка,14.5,3.0,0.0,85.0
Пюре ФрутоНяня из яблок и абрикосов со сливками,0.6,1.0,15.5,73.0
Пюре ФрутоНяня из яблок и груш с творогом,1.0,0.0,17.3,73.0
Пюре ФрутоНяня из яблок со сливками,0.5,1.0,15.0,71.0
"Пюре ФрутоНяня из яблок, черной и красной смородины",0.0,0.0,14.0,56.0
Пюре ФрутоНяня Овощной салатик,0.5,0.0,5.5,24.0
Пюре ФрутоНяня Фруктовый салатик,0.0,0.0,13.2,53.0
Пюре ФрутоНяня Цыпленок с рисом и овощами,4.0,3.0,7.0,71.0
Пюре ФрутоНяня Экзотический салатик,0.0,0.0,16.1,64.0
Пюре ФрутоНяня Ягодный салатик,0.0,0.0,13.9,56.0
Пюре ФрутоНяня Ягодный салатик со сливками,0.5,0.3,15.5,67.0
Равиоли,15.5,8.0,29.7,245.0
Рагу Gerber из кролика со шпинатом,3.3,2.8,7.7,72.0
Рагу Gerber из телятины с тыквой и морковью,3.0,2.2,5.7,60.0
Рагу Устькамчатрыба из тихоокеанских лососёвых рыб,18.0,11.0,0.0,171.0
Разрыхлитель теста,0.1,0.0,19.6,79.0
Раки морские вареные,20.5,0.7,0.3,90.0
Раки морские свежие,18.8,1.3,0.5,89.0
Раки речные вареные,20.3,1.3,1.0,97.0
Раки речные свежие,15.5,1.0,1.2,76.0
Ракушка Myllyn Paras,10.4,1.1,71.5,344.0
Рамбутан,0.6,0.2,19.0,82.0
Рапана,16.7,1.1,0.0,77.0
Рапс,30.8,43.6,7.2,544.0
Рассольник,1.4,2.0,5.0,42.0
Рассольник Yelli Петербургский,9.5,1.0,70.0,330.0
Расторопша пятнистая сухая,24.0,10.0,52.5,396.0
Рахат-лукум,0.8,0.7,79.4,316.0
Рахат-лукум Пеко Калейдоскоп,0.0,0.0,81.8,314.0
Рахат-лукум Пеко Мозаика,0.0,0.0,82.0,314.0
Рахат-лукум Пеко Цитрусовый,0.0,0.0,81.8,314.0
Рахат-лукум с фисташками,0.9,1.0,83.0,327.0
Ревень,0.7,0.1,2.5,13.0
Редис,1.2,0.1,3.4,19.0
Редька белая,1.4,0.0,4.1,21.0
Редька зелёная,2.0,0.2,6.5,32.0
Редька красная,1.2,0.1,3.4,20.0
Редька маргеланская (китайская),1.2,0.0,4.1,21.0
Редька чёрная,1.9,0.2,6.7,35.0
Репа,1.5,0.1,6.2,30.0
Ржаное сусло,19.0,1.0,61.8,315.0
Ржаные отруби,11.2,3.2,32.0,221.0
Ржаные отруби Диадар Бородинские хрустящие,13.2,3.2,27.0,190.0
Ржаные отруби Ого!,13.0,2.0,40.0,274.0
Ржаные хлопья,6.4,3.2,82.6,343.0
Ржаные хлопья Myllyn Paras,9.7,2.0,61.3,305.0
Ригатони,8.0,1.2,42.9,220.0
Риет Меридиан лососевый с каперсами и укропом,19.6,2.2,2.8,107.0
Риет Меридиан лососевый с творогом,19.5,2.2,2.7,110.0
Ризотто Yelli с белыми грибами,8.0,1.5,74.0,340.0
Ризотто Yelli с томатами и базиликом,7.0,1.0,77.0,350.0
Рис 4 сезона для жарки,2.0,0.5,22.0,110.0
Рис Bravolli Карнароли для ризотто,7.0,1.0,80.0,360.0
Рис Bravolli Четыре риса,11.0,0.5,72.0,340.0
Рис Makfa длиннозерный,7.0,1.0,74.0,333.0
Рис Makfa длиннозерный в пакетиках,7.0,1.0,74.0,333.0
Рис Makfa длиннозерный пропаренный,7.0,1.0,74.0,333.0
Рис Makfa длиннозерный пропаренный в пакетиках,7.0,1.0,74.0,333.0
Рис Makfa круглозерный,7.0,1.0,74.0,333.0
Рис Makfa круглозерный в пакетиках,7.0,1.0,74.0,333.0
Рис Yelli Басмати с овощами Бириани,7.0,1.0,77.0,350.0
Рис Агро-Альянс бурый Slim&Fit,7.5,2.0,77.0,380.0
Рис Агро-Альянс для плова,6.5,9.0,79.0,420.0
Рис Агро-Альянс для ризотто Арборио,6.5,1.0,75.0,340.0
Рис Агро-Альянс для суши и японской кухни,8.0,0.4,77.0,340.0
Рис Агро-Альянс Жасмин,7.5,0.2,76.0,340.0
Рис Агро-Альянс красный Рубин,7.5,2.0,69.0,340.0
Рис Агро-Альянс кубанский Элитный,6.5,0.5,75.0,330.0
Рис Агро-Альянс пропаренный Gold,6.5,1.0,79.0,350.0
Рис Агро-Альянс Смесь золотистого и дикого,8.0,1.0,76.0,340.0
Рис Агро-Альянс Супер Басмати,9.5,0.2,75.0,340.0
Рис Агро-Альянс черный Южная ночь,6.5,2.5,52.0,260.0
Рис Арборио,6.5,0.7,75.4,330.0
Рис белый,6.7,0.7,78.9,344.0
Рис белый вареный,2.2,0.5,24.9,116.0
Рис бурый,7.4,1.8,72.9,337.0
Рис Дикий + Парбоилд Worlds Rice,13.7,1.0,74.2,358.0
Рис дикий вареный,4.0,0.3,21.1,100.0
Рис дикий чёрный,4.1,0.4,21.0,101.0
Рис длиннозерный,7.1,0.7,78.0,365.0
Рис для суши,7.0,0.6,75.2,342.0
Рис Жменька Арборио,6.7,1.5,78.5,354.0
Рис Жменька длиннозернистый,7.0,1.0,71.4,330.0
Рис Жменька Жасмин,6.9,0.2,73.4,331.0
Рис Жменька круглозернистый,7.0,1.0,71.4,330.0
Рис Жменька нешлифованный,8.0,3.9,52.0,285.0
Рис Жменька Отборный,7.0,1.0,71.4,330.0
Рис Жменька пропаренный,7.3,0.2,75.4,341.0
Рис Жменька пропаренный Gold,7.3,0.2,75.4,341.0
Рис Жменька Супер Басмати,7.1,0.2,71.2,322.0
Рис Жменька Суши,7.2,0.3,79.0,347.0
Рис золотистый,8.1,0.4,78.0,349.0
Рис Карнароли,7.5,2.6,62.5,303.0
Рис коричневый,6.3,4.4,65.1,331.0
Рис коричневый вареный,2.6,0.9,22.8,110.0
Рис красный нешлифованный,10.5,2.5,70.5,362.0
Рис круглозерный шлифованный,0.1,0.4,79.0,350.0
Рис Мистраль Акватика Color Mix,8.8,2.3,72.8,356.0
Рис Мистраль Акватика Дикий,14.0,0.5,72.0,357.0
Рис Мистраль круглозерный,0.1,0.4,79.5,355.0
Рис Мистраль пропаренный,7.1,0.7,79.3,361.0
Рис Мистраль Самарканд красный круглозерный,8.0,0.5,75.8,320.0
Рис Националь Здоровье,7.5,2.0,73.0,340.0
Рис Националь Ризотто,6.5,0.5,83.0,360.0
Рис нешлифованный вареный,2.7,0.7,36.0,125.0
Рис Нишики,7.0,2.0,56.0,277.0
Рис Пассим круглозёрный Приморский,7.0,1.0,74.0,333.0
Рис полированный,7.0,1.0,71.4,330.0
Рис пропаренный вареный,2.1,0.1,21.4,97.0
Рис рассыпчатый,2.4,0.2,24.9,113.0
Рис Увелка круглозерный,7.0,1.0,71.1,330.0
Рис Увелка круглозерный шлифованный,8.0,1.0,76.0,340.0
Рис Фушигон,7.0,0.6,77.3,340.0
Рисовая бумага,5.8,0.0,77.0,333.0
Рисовая бумага Сэн Сой Премиум,5.8,0.0,77.4,333.0
Рисовая каша Nestle безмолочная,6.5,1.0,86.5,381.0
Рисовая каша Nestle молочная с бананом,12.0,10.0,70.9,422.0
Рисовая каша Nestle молочная с яблоком,12.0,10.0,70.9,422.0
Рисовая каша Малютка молочная с курагой,12.2,15.2,65.5,448.0
Рисовая каша Малютка молочная с соком персика,13.0,10.0,70.0,422.0
Рисовая каша на воде,1.5,0.1,17.4,78.0
Рисовая каша на молоке,2.5,3.1,16.0,97.0
Рисовая каша ФрутоНяня безмолочная с яблоком и абрикосом,0.5,0.0,13.0,54.0
Рисовая кашка Heinz абрикос чернослив молочная,13.0,11.1,68.0,422.0
Рисовая кашка Heinz низкоаллергенная без молока,7.9,0.6,85.0,377.0
Рисовая кашка ФрутоНяня молочная жидкая,2.1,2.0,10.6,68.0
Рисовая манка Гарнец безглютеновая,7.0,0.5,78.0,340.0
Рисовые отруби,13.4,20.9,28.9,316.0
Рисовые хлопья,7.0,2.0,77.0,360.0
Рисовые хлопья Myllyn Paras,7.0,1.0,77.0,360.0
Рисовые хлопья Myllyn Paras для каши,7.0,1.0,77.0,360.0
Рогалик,7.9,10.8,57.2,357.0
Рожки Myllyn Paras,10.4,1.1,71.5,344.0
Рожки сдобные,8.3,12.1,50.5,345.0
Рожь (зерна),9.9,2.2,55.8,283.0
Розмарин,3.3,5.9,20.7,131.0
Розмарин сушеный,4.8,15.2,64.0,331.0
Розовая эссенция,0.0,0.0,0.0,
Ролл Авокадо,2.0,1.3,21.2,105.0
Ролл Аляска,4.2,2.7,12.2,90.0
Ролл Ацуй маки,5.8,5.7,15.5,137.0
Ролл Беруто дайкон,0.3,0.4,23.4,99.0
Ролл Бутанику кимути,5.1,6.9,15.2,144.0
Ролл Гейша маки,5.7,7.2,17.4,158.0
Ролл Дзитаку,6.4,6.1,16.8,148.0
Ролл Дракон маки,4.8,11.4,16.7,189.0
Ролл Инари спайси,6.0,4.8,13.8,123.0
Ролл Кагувасэ,7.2,6.5,20.9,171.0
Ролл Кадзи сякэ,6.5,5.9,15.8,142.0
Ролл Калифорния,7.0,8.8,17.2,176.0
Ролл Кани хината,4.4,6.2,12.7,124.0
Ролл Каппа маки,1.7,0.7,19.2,90.0
Ролл Каруй,0.1,0.3,10.8,46.0
Ролл Киото,8.4,6.3,16.0,155.0
Ролл Кирои,4.8,8.3,16.3,159.0
Ролл Кунсэй батакон,8.3,8.9,15.1,174.0
Ролл Манацуби,4.5,3.4,12.6,99.0
Ролл Масиро дайкон,2.3,2.0,11.1,71.0
Ролл Мидори сякэ,9.8,6.5,13.5,152.0
Ролл Овара,6.5,5.9,15.8,143.0
Ролл Окинава,5.8,4.8,18.0,139.0
Ролл Радуга,3.5,2.4,17.3,105.0
Ролл Рок-н-ролл,5.3,5.6,16.5,138.0
Ролл Супайсу тэмпура,8.5,6.7,16.5,160.0
Ролл Сякэ,6.8,2.7,19.3,128.0
Ролл Сякэ кунсей маки,6.0,5.5,18.1,146.0
Ролл Сякэ унаги маки,8.5,7.1,13.1,150.0
Ролл Тамаго маки,7.0,7.0,13.5,145.0
Ролл Тануки,9.7,11.5,14.4,201.0
Ролл Тануки фурай маки,5.5,6.6,18.2,154.0
Ролл Тори ясай,6.5,8.3,5.6,160.0
Ролл Тэкка маки,2.8,1.7,19.2,105.0
Ролл Тэмпура,6.1,3.6,18.0,129.0
Ролл Унаги,5.3,8.3,19.2,173.0
Ролл Унаги кани,9.8,18.0,19.2,277.0
Ролл Унаги тидзу,10.9,8.4,11.6,165.0
Ролл Унаги урамаки,6.1,7.5,15.0,152.0
Ролл Филадельфия,9.7,6.7,10.8,142.0
Ролл Харумаки,14.4,15.2,11.9,242.0
Ролл Цукини маки,1.1,5.9,7.5,87.0
Ролл Чидори,8.5,8.0,14.3,163.0
Ролл Эби каиган,5.7,2.8,17.8,120.0
Ром,0.0,0.0,0.0,220.0
Ромовая эссенция,0.0,0.0,0.4,42.0
Ростбиф из говядины,26.4,6.8,0.0,173.0
Ростки фасоли Бондюэль Мунго,1.5,0.1,1.8,14.0
Ротан,17.5,2.0,0.0,88.0
Роти,13.9,1.8,75.1,370.0
Руккола,2.6,0.7,2.1,25.0
Рулет Ганна Домашнее лакомство из мяса птицы,15.3,11.9,0.0,168.0
Рулет Лимон,6.3,14.0,39.4,311.0
Рулет Майский,7.3,9.3,55.0,333.0
Рулет Майский Черёмушки с маком и изюмом,7.3,9.3,55.0,333.0
Рулет Сдобная особа с курагой,5.6,13.1,51.9,346.0
Рулет Сдобная особа с лимоном,4.9,10.9,55.4,335.0
Рулет Сдобная особа с маковой начинкой,6.8,14.2,46.7,340.0
Рулет Сдобная особа с черносливом и орехом,5.6,15.9,52.0,371.0
Рулет Сдобная особа с шоколадной начинкой,5.4,17.5,50.4,377.0
Рулет Черника,7.0,10.4,41.6,288.0
Рулетик Черёмушки с вишней,5.5,6.3,53.5,292.0
Рулетик Черёмушки с курагой,8.6,9.8,53.9,339.0
Рулетик Черёмушки с яблоком,7.0,6.3,57.9,318.0
Рыба вяленая,17.5,4.6,0.0,139.0
Рыба копченая,26.8,9.9,0.0,196.0
Рыба маринованная,1.7,3.0,11.4,82.0
Рыба соленая,19.2,2.0,0.0,190.0
Рыба сушеная,52.4,5.8,3.3,275.0
Рыба-попугай,18.7,24.0,0.0,270.0
Рыба-сабля,19.3,3.2,0.0,106.0
Рыбец,17.5,2.0,0.0,88.0
Рыбная строганина,34.3,3.9,0.5,172.0
Рыбное филе,15.2,3.5,0.0,91.0
Рыбные бургеры,12.0,0.8,19.0,131.0
Рыбные консервы,17.5,2.0,0.0,88.0
Рыбные палочки замороженные,9.5,8.7,22.4,206.0
Рыбные полуфабрикаты,12.5,6.7,14.7,209.0
Рыбный балык,20.4,12.5,0.0,194.0
Рыбный рулет,11.8,7.5,9.7,139.0
Рыбный стейк,12.8,6.0,12.0,155.0
Рыбный фарш,16.0,0.6,0.0,69.0
Рыжики свежие,1.9,0.8,2.7,17.0
Рябина,1.5,0.1,10.9,50.0
Рябчик,18.0,20.0,0.5,254.0
Ряженка 1%,3.0,1.0,4.2,40.0
Ряженка 2.5%,2.9,2.5,4.2,54.0
Ряженка 3.2%,2.9,3.2,4.1,57.0
Ряженка 4%,2.8,4.0,4.2,67.0
Ряженка 6%,5.0,6.0,4.1,84.0
Ряженка Белая долина 2.5%,3.0,2.5,4.2,51.0
Ряженка Из села Удоево 4%,2.8,4.0,4.2,63.0
Ряженка Останкинская 2.5%,2.8,2.5,4.2,51.0
Ряженка Полезные продукты Груша-Яблоко 2.5%,2.8,2.0,15.0,90.0
Ряженка Село Зелёное термостатная 4%,2.8,4.0,4.7,68.0
Ряпушка,17.5,2.0,0.0,88.0
Саго,1.0,0.7,85.0,350.0
Сазан азовский,18.4,5.3,,121.0
Сазан каспийский,18.2,2.7,,97.0
Сайда,19.4,0.9,0.0,92.0
Сайка,7.9,9.4,55.5,339.0
Сайра бланшированная в масле,18.3,23.3,,283.0
Сайра консервированная,17.5,2.0,0.0,88.0
Сайра Рыбный остров тихоокеанская натуральная с добавлением масла,18.0,23.0,0.0,279.0
Сайра свежая,18.6,12.0,,182.0
Сакана кимчи,6.5,3.0,10.6,96.0
Саке,0.5,0.0,5.0,134.0
Салака копчёная,25.4,5.6,,152.0
Салакка,0.0,0.0,12.0,50.0
Салат,1.2,0.3,1.3,12.0
Салат Айсберг,0.9,0.1,1.8,14.0
Салат Алые паруса готовый,6.9,14.8,7.8,189.0
Салат Ариран готовый,17.9,17.3,2.1,235.0
Салат Афинский готовый,6.2,10.2,2.3,128.0
Салат Афицион,1.5,0.2,2.2,14.0
Салат Батавия,1.5,0.2,2.0,16.0
Салат Берендей готовый,0.8,20.2,5.2,205.0
Салат Бордо готовый,3.5,19.0,7.9,214.0
Салат Венский готовый,10.2,27.5,2.5,299.0
Салат Вита готовый,1.1,9.0,6.1,63.0
Салат Витаминка готовый,1.0,10.1,10.8,137.0
Салат Витаминный готовый,1.4,13.4,5.8,146.0
Салат Вкус Италии готовый,11.8,11.0,1.5,153.0
Салат Воскресенский готовый,1.1,10.1,4.6,114.0
Салат Восторг готовый,4.6,17.2,8.3,205.0
Салат Грибной готовый,3.2,13.9,4.4,156.0
Салат Дальневосточный готовый,0.6,3.1,7.3,59.0
Салат Дары Сибири готовый,1.3,3.6,5.7,59.0
Салат Дарьюшка из морской капусты готовый,5.5,20.0,8.0,320.0
Салат Жемчужина готовый,2.9,7.1,7.0,103.0
Салат из корейской спаржи готовый,8.2,8.8,12.8,124.0
Салат из микрозелени Дабл Боб Botanica Farm,2.8,10.1,3.6,113.0
Салат из морской капусты Диетический с крабовыми палочками,6.0,3.0,2.0,84.0
Салат из морской капусты с зелёным горошком готовый,4.0,5.4,0.0,59.0
Салат из морской капусты с луком и пряностями,0.0,18.3,0.3,176.0
Салат из морской капусты с майонезом и ткемалевым соусом готовый,4.0,5.4,0.0,59.0
Салат из цветной капусты готовый,2.0,2.5,4.5,47.0
Салат Испанский готовый,12.3,24.5,1.9,288.0
Салат Итальянский с ветчиной готовый,9.5,14.6,31.7,288.0
Салат Кальмары готовый,7.6,15.4,18.7,240.0
Салат Кальмары фаршированные готовый,10.2,16.2,11.8,234.0
Салат Камчатский готовый,8.1,1.7,6.1,73.0
Салат Катюша готовый,1.6,7.0,5.5,90.0
Салат кочанный,0.9,0.1,1.8,14.0
Салат Крабовые палочки готовый,6.6,14.8,13.7,217.0
Салат Крабовый готовый,9.2,7.4,5.9,128.0
Салат Красная шапочка готовый,7.7,25.6,5.8,288.0
Салат Курильский берег Дальневосточный из морской капусты,1.0,10.0,7.0,122.0
Салат Курочка-ряба готовый,11.4,22.4,3.9,261.0
Салат Лолло Росса,1.5,0.2,2.0,16.0
Салат Лосось готовый,8.3,14.2,17.7,275.0
Салат Маяк готовый,9.6,24.0,2.6,262.0
Салат Микс Бургер Кинг,1.3,0.2,4.0,23.0
Салат Мимоза готовый,5.7,14.8,7.2,183.0
Салат Мираж готовый,15.0,8.8,3.3,152.0
Салат Мицуна,2.0,0.2,1.5,16.0
Салат Монастырский готовый,1.5,18.1,7.4,198.0
Салат Морское ассорти готовый,1.4,4.3,7.3,71.0
Салат Морской дар готовый,7.4,20.2,2.6,239.0
Салат Московский готовый,5.3,20.2,6.1,227.0
Салат Мясной готовый,8.8,16.7,5.0,214.0
Салат Находка готовый,3.4,21.0,4.6,223.0
Салат Оаклиф,1.5,0.2,2.0,16.0
Салат Овощной McDonalds,2.0,3.0,5.0,60.0
Салат Оливье по-домашнему готовый,5.1,16.5,3.9,187.0
Салат Оливье с ветчиной готовый,5.4,16.7,7.0,198.0
Салат Оливье с колбасой готовый,5.4,16.7,7.0,198.0
Салат Оливье с мясом готовый,5.4,16.7,7.0,198.0
Салат Охотничий готовый,14.4,14.8,7.3,219.0
Салат Печеночный готовый,5.6,14.4,3.2,164.0
Салат Пикантный готовый,5.9,17.7,4.6,202.0
Салат Полевой,1.1,0.0,3.5,23.0
Салат Птица по-английски готовый,12.6,17.9,1.2,216.0
Салат Радичио,1.5,0.2,3.3,20.0
Салат Розовый фламинго готовый,7.3,16.0,5.8,206.0
Салат Романо,1.8,1.1,2.7,17.0
Салат Русалочка готовый,7.8,15.6,2.7,203.0
Салат Русский узор готовый,3.2,14.9,8.2,177.0
Салат Санта Бремор из морских водорослей Чука,2.0,6.0,14.0,120.0
Салат Санта Бремор из морских водорослей Чука с ореховым соусом,3.5,3.0,11.0,85.0
Салат Сеул готовый,6.9,7.6,4.5,106.0
Салат Солнышко готовый,10.0,20.3,3.7,239.0
Салат Спаржа по-корейски Healthy Food,33.5,28.6,16.7,459.0
Салат Столичный готовый,7.6,18.8,6.4,217.0
Салат Сыр с грибами готовый,17.0,13.3,0.2,189.0
Салат Сытницкий готовый,9.2,27.6,2.0,292.0
Салат Татьянин день готовый,4.0,15.0,2.8,161.0
Салат Фаворит готовый,16.6,12.3,0.4,178.0
Салат Фермер готовый,4.7,16.6,2.7,179.0
Салат Фитнес готовый,1.9,10.1,23.8,192.0
Салат Фризе,1.5,0.0,2.2,14.0
Салат Фриллис Выборжец свежий,2.0,0.1,7.0,37.0
Салат Фунчоза готовый,0.2,3.5,6.4,82.0
Салат Цезарь McDonalds,15.0,10.0,9.0,190.0
