Name,Weight,TypeOfIngredient,Index
"Соль, черный перец - по вкусу.",0.0,по вкусу,11
Кокосовое молоко,250.0,гр.,12
Рисовая мука,100.0,гр.,12
Яйцо,3.0,шт.,12
Растительное масло,0.0,по вкусу,12
Сахар,30.0,гр.,12
Соль,0.0,по вкусу,12
Судак,700.0,гр.,13
Морковь,1.0,шт.,13
Сливки 20 %,200.0,мл.,13
Сыр,100.0,гр.,13
Соль,0.0,по вкусу,13
Черный перец,0.0,по вкусу,13
Приправа,0.0,по вкусу,13
Дополнительно,0.0,заголовок,13
Брокколи,0.0,по вкусу,13
Цветная капуста,0.0,по вкусу,13
Творог,200.0,гр.,14
Мука,200.0,гр.,14
Сахар,150.0,гр.,14
Сливочное масло,35.0,гр.,14
Сметана,65.0,гр.,14
Яйцо,2.0,шт.,14
Кокосовая стружка,60.0,гр.,14
Сода,0.0,ч.л.,14
Для глазури: белый шоколад - 100 гр. и 2 ст.л сливок 20%.,100.0,гр.,14
Тесто,0.0,заголовок,15
Мука,250.0,гр.,15
Желток,0.0,по вкусу,15
Масло сливочное,120.0,гр.,15
Сахар,2.0,ст.л.,15
Соль,0.0,по вкусу,15
Холодная вода,1.0,ст.л.,15
Начинка,0.0,заголовок,15
Брусника,700.0,гр.,15
Сахар,185.0,гр.,15
Ванилин,0.0,по вкусу,15
Кукурузный крахмал,50.0,гр.,15
Яблоко,200.0,гр.,15
Дополнительно,0.0,заголовок,15
Яйцо,0.0,по вкусу,15
Молоко,0.0,по вкусу,15
Курица,1.0,шт.,16
Кефир,350.0,мл.,16
Паприка,1.0,ч.л.,16
Тимьян,0.0,по вкусу,16
Кленовый сироп,100.0,мл.,16
Соль,0.0,по вкусу,16
Оливковое масло,0.0,по вкусу,16
Гарнир,0.0,заголовок,16
Брокколи,150.0,гр.,16
Морковь,2.0,шт.,16
Брюссельская капуста,150.0,гр.,16
Дижонская горчица,30.0,гр.,16
Кленовый сироп,50.0,мл.,16
Бальзамический уксус,10.0,мл.,16
Сок лимона,10.0,мл.,16
Оливковое масло,10.0,мл.,16
Мука,250.0,гр.,17
Яйцо,2.0,шт.,17
Творог,250.0,гр.,17
Сливочное масло,150.0,гр.,17
Сахар,170.0,гр.,17
Ванильный сахар,15.0,гр.,17
Изюм,100.0,гр.,17
Разрыхлитель,1.0,ч.л.,17
Соль,0.0,по вкусу,17
Сахарная пудра,0.0,по вкусу,17
Тесто,0.0,заголовок,18
Мука,350.0,гр.,18
Сливочное масло,100.0,гр.,18
Яйцо,1.0,шт.,18
Сахар,2.0,ст.л.,18
Сметана,100.0,гр.,18
Соль,0.0,по вкусу,18
Сода,0.25,ч.л.,18
Начинка,0.0,заголовок,18
Творожный сыр,300.0,гр.,18
Сахар,50.0,гр.,18
Ванилин,0.0,по вкусу,18
Яйцо,1.0,шт.,18
Начинка 2,0.0,заголовок,18
Яблоко,650.0,гр.,18
Сахар,100.0,гр.,18
Лимонный сок,1.0,ст.л.,18
Кукурузный крахмал,40.0,гр.,18
Молотый мускатный орех,0.0,по вкусу,18
Корица,10.0,гр.,18
Баклажан,2.0,шт.,19
Томатный соус,300.0,гр.,19
Моцарелла,250.0,гр.,19
Лук репчатый,1.0,шт.,19
Базилик,0.0,по вкусу,19
Оливковое масло,30.0,мл.,19
Пармезан,30.0,гр.,19
Фарш (говядина-свинина),350.0,гр.,20
Морковь,1.0,шт.,20
Лук репчатый,1.0,шт.,20
Консервированные томаты в собственном соку,150.0,гр.,20
Тимьян,0.0,по вкусу,20
Оливковое масло,30.0,мл.,20
Паста «Каннеллони»,150.0,гр.,20
Пармезан,20.0,гр.,20
Бульон (говяжий или куриный),200.0,мл.,20
Соус,0.0,заголовок,20
Бульон (говяжий или куриный),200.0,мл.,20
Сливки 20 %,50.0,мл.,20
Консервированные томаты в собственном соку,50.0,гр.,20
Чеснок,1.0,шт.,20
Сыр буррата,200.0,гр.,21
Инжир,350.0,гр.,21
Для маринада,0.0,заголовок,21
Красное сухое вино,300.0,мл.,21
Корица,0.0,по вкусу,21
Тимьян,0.0,по вкусу,21
Сахар,30.0,гр.,21
Бальзамический уксус,15.0,гр.,21
Сок лимона,10.0,мл.,21
Для карамели,0.0,заголовок,21
Сахар,200.0,гр.,21
Вода,50.0,мл.,21
Масло сливочное,90.0,гр.,21
Сливки 33%,200.0,мл.,21
Соль,0.0,по вкусу,21
Мидии,150.0,гр.,22
Креветки,100.0,гр.,22
Кальмар,100.0,гр.,22
Помидоры черри,100.0,гр.,22
Шпинат,30.0,гр.,22
Руккола,70.0,гр.,22
Кунжутное семя,5.0,гр.,22
Сок лайма,5.0,мл.,22
Соевый соус,10.0,мл.,22
Кунжутное масло,10.0,мл.,22
Чеснок,10.0,гр.,22
Белое сухое вино,100.0,мл.,22
Острый перец,1.0,гр.,22
Сливочное масло,5.0,гр.,22
Оливковое масло,5.0,гр.,22
Петрушка,0.0,по вкусу,22
Тесто,0.0,заголовок,23
Мука,200.0,гр.,23
Яйцо,1.0,шт.,23
Сахар,100.0,гр.,23
Сливочное масло,80.0,гр.,23
Соль,0.0,по вкусу,23
Начинка,0.0,заголовок,23
Творожный сыр,800.0,гр.,23
Яйцо,3.0,шт.,23
Сливки 33-35%,150.0,мл.,23
Сахар,170.0,гр.,23
Стручок ванили,1.0,шт.,23
Лимон,1.0,шт.,23
Кукурузный крахмал,3.0,ст.л.,23
Соус,0.0,заголовок,23
Клюква,300.0,гр.,23
Сахар,150.0,гр.,23
Кукурузный крахмал,1.0,ст.л.,23
Шампиньоны,750.0,гр.,24
Лук репчатый,250.0,гр.,24
Чеснок,15.0,гр.,24
Оливковое масло,30.0,мл.,24
Тимьян,5.0,гр.,24
Соль,10.0,гр.,24
Паприка,5.0,гр.,24
Вода,500.0,мл.,24
Сливки 20 %,300.0,мл.,24
Сливки 33%,100.0,гр.,24
Белые сушеные грибы,10.0,гр.,24
Петрушка,0.0,по вкусу,24
Дополнительно,0.0,заголовок,24
Лук-фри,0.0,по вкусу,24
Сыр халлуми,200.0,гр.,25
Оливковое масло,0.0,по вкусу,25
Зелень,0.0,по вкусу,25
Соус,0.0,заголовок,25
Брусника,100.0,гр.,25
Сахар,35.0,гр.,25
Красное сухое вино,30.0,мл.,25
Корица,1.0,шт.,25
Кукурузный крахмал,5.0,гр.,25
Вода,50.0,мл.,25
Сладкий перец,4.0,шт.,26
Шампиньоны,150.0,гр.,26
Булгур,150.0,гр.,26
Репчатый лук,100.0,гр.,26
Морковь,1.0,шт.,26
Консервированные томаты в собственном соку,100.0,гр.,26
Белые сушеные грибы,10.0,гр.,26
Чеснок,15.0,гр.,26
Овощной бульон,400.0,мл.,26
Петрушка,0.0,по вкусу,26
Масло сливочное,10.0,гр.,26
Оливковое масло,20.0,мл.,26
Для бульона,0.0,заголовок,26
Морковь,1.0,шт.,26
Репчатый лук,1.0,шт.,26
Лук порей,1.0,шт.,26
Стебель сельдерея,1.0,шт.,26
Лавровый лист,0.0,по вкусу,26
Черный перец горошком,0.0,по вкусу,26
Тесто,0.0,заголовок,27
Мука,250.0,гр.,27
Желток,2.0,шт.,27
Масло сливочное,120.0,гр.,27
Сахар,2.0,ст.л.,27
Соль,0.0,по вкусу,27
Холодная вода,1.0,ст.л.,27
Начинка,0.0,заголовок,27
Миндальная мука,150.0,гр.,27
Масло сливочное,125.0,гр.,27
Сахар,125.0,гр.,27
Яйцо,2.0,шт.,27
Миндальная стружка,20.0,гр.,27
Ванилин,1.0,гр.,27
Нектарин,2.0,шт.,27
Спагетти,140.0,гр.,28
Цукини,120.0,гр.,28
Креветки,140.0,гр.,28
Чеснок,10.0,гр.,28
Перец,1.0,гр.,28
Сливочное масло,10.0,гр.,28
Оливковое масло,30.0,мл.,28
Бульон,300.0,мл.,28
Белое вино,30.0,мл.,28
Петрушка,0.0,по вкусу,28
Базилик,0.0,по вкусу,28
Черри,40.0,гр.,28
"Морковь, лук, стебель сельдерея, лавровый лист, чёрный перец для приготовления бульона.",0.0,по вкусу,28
Кролик,700.0,гр.,29
Чиабатта,100.0,гр.,29
Молоко,110.0,гр.,29
Лук репчатый,110.0,гр.,29
Масло сливочное,20.0,гр.,29
Соль,7.0,гр.,29
Яйцо,1.0,шт.,29
Соус,0.0,заголовок,29
Чеснок,3.0,гр.,29
Оливковое масло,10.0,гр.,29
Базилик,0.0,по вкусу,29
Куриный бульон,80.0,гр.,29
Помидоры,200.0,гр.,29
Сливки 20 %,150.0,гр.,29
Соль,0.0,по вкусу,29
Сахар,0.0,по вкусу,29
Дополнительно,0.0,заголовок,29
Базилик,0.0,по вкусу,29
Пармезан,0.0,по вкусу,29
Тесто,0.0,заголовок,30
Мука,350.0,гр.,30
Сливочное масло,100.0,гр.,30
Сметана,100.0,гр.,30
Яйцо,1.0,шт.,30
Сахар,2.0,ст.л.,30
Соль,0.0,по вкусу,30
Сода,0.25,ч.л.,30
Начинка,0.0,заголовок,30
Творожный сыр,140.0,гр.,30
Лосось,250.0,гр.,30
Лук порей,250.0,гр.,30
Сливочное масло,20.0,гр.,30
Оливковое масло,20.0,гр.,30
Яйцо,2.0,шт.,30
Соль,6.0,гр.,30
Белый перец,3.0,гр.,30
Молоко,100.0,мл.,30
Тесто,0.0,заголовок,31
Мука,250.0,гр.,31
Желток,2.0,шт.,31
Сливочное масло,120.0,гр.,31
Сахар,2.0,ст.л.,31
Соль,0.0,по вкусу,31
Холодная вода,1.0,ст.л.,31
Заварной крем,0.0,заголовок,31
Желток,3.0,шт.,31
Сахар,75.0,гр.,31
Кукурузный крахмал,25.0,гр.,31
Молоко,250.0,мл.,31
Ганаш,0.0,заголовок,31
Темный шоколад,190.0,гр.,31
Сливки 35%,125.0,гр.,31
Дополнительно: яйцо + капелька молока для смазывания пирога.,0.0,по вкусу,31
Рис,150.0,гр.,32
Цветная капуста,80.0,гр.,32
Морковь,1.0,шт.,32
Шампиньоны,5.0,шт.,32
Кукуруза,80.0,гр.,32
Корень имбиря,20.0,гр.,32
Чеснок,10.0,гр.,32
Лук репчатый,0.5,шт.,32
Красный острый перец,0.5,шт.,32
Яйцо,2.0,шт.,32
Растительное масло,0.0,по вкусу,32
Соевый соус,80.0,мл.,32
Зеленый лук,0.0,по вкусу,32
Тесто,0.0,заголовок,33
Мука,250.0,гр.,33
Желток,2.0,шт.,33
Сливочное масло,120.0,гр.,33
Сахар,2.0,ст.л.,33
Соль,0.0,по вкусу,33
Холодная вода,1.0,ст.л.,33
Для крема,0.0,заголовок,33
Молоко,780.0,мл.,33
Сахарная пудра,180.0,гр.,33
Желток,9.0,шт.,33
Кукурузный крахмал,67.0,гр.,33
Стручок ванили,1.0,шт.,33
Сливочное масло,75.0,гр.,33
Дополнительно,0.0,заголовок,33
Сливки 35%,200.0,мл.,33
Малиновый джем,100.0,гр.,33
Сок лимона,0.0,по вкусу,33
Для украшения,0.0,заголовок,33
Свежие ягоды,200.0,гр.,33
Куриное бедро,500.0,гр.,34
Сладкий перец,0.5,шт.,34
Шампиньоны,80.0,гр.,34
Цукини,100.0,гр.,34
Морковь,50.0,гр.,34
Лук репчатый,0.5,шт.,34
Чеснок,0.0,по вкусу,34
Терияки,120.0,гр.,34
Корень имбиря,1.0,шт.,34
Кунжутное семя,2.0,ст.л.,34
Растительное масло,4.0,ст.л.,34
Дополнительно,0.0,заголовок,34
Лапша гречневая,100.0,гр.,34
Кинза,0.0,по вкусу,34
Тесто,0.0,заголовок,35
Мука,350.0,гр.,35
Сметана,100.0,гр.,35
Сливочное масло,100.0,гр.,35
Яйцо,1.0,шт.,35
Сахар,1.0,ст.л.,35
Соль,1.0,ч.л.,35
Сода,0.25,ч.л.,35
Начинка,0.0,заголовок,35
Фарш,700.0,гр.,35
Морковь,100.0,гр.,35
Лук репчатый,1.0,шт.,35
Чеснок,0.0,по вкусу,35
Помидор,1.0,шт.,35
Корень сельдерея,0.3333333333333333,шт.,35
Говяжий бульон,0.0,по вкусу,35
Тимьян,0.0,по вкусу,35
Сливочное масло,30.0,гр.,35
Дополнительно,0.0,заголовок,35
Желток,0.0,по вкусу,35
Для подачи,0.0,заголовок,35
Сметана,0.0,по вкусу,35
Спагетти,300.0,гр.,36
Черный перец,30.0,гр.,36
Пекорино,100.0,гр.,36
Сливочное масло,30.0,гр.,36
Оливковое масло,30.0,мл.,36
Соль,0.0,по вкусу,36
Тесто,0.0,заголовок,37
Мука,250.0,гр.,37
Миндальная мука,100.0,гр.,37
Сахарная пудра,100.0,гр.,37
Сливочное масло,125.0,гр.,37
Яйцо,2.0,шт.,37
Корица,0.5,ч.л.,37
Разрыхлитель,0.0,мало,37
Коньяк,10.0,мл.,37
Ванильная эссенция,0.0,по вкусу,37
Соль,0.0,по вкусу,37
Начинка,0.0,заголовок,37
Малиновый джем,200.0,гр.,37
Сок лимона,0.0,по вкусу,37
Яблоко,200.0,гр.,37
Кукурузный крахмал,15.0,гр.,37
Сахар,50.0,гр.,37
1 желток и несколько капель молока для смазывания теста.,1.0,шт.,37
Фунчоза,120.0,гр.,38
Морковь,70.0,гр.,38
Цукини,70.0,гр.,38
Болгарский перец,100.0,гр.,38
Шампиньоны,5.0,шт.,38
Шпинат,0.0,по вкусу,38
Креветки,0.0,по вкусу,38
Лук шалот,1.0,шт.,38
Чеснок,0.0,по вкусу,38
Корень имбиря,0.0,по вкусу,38
Красный острый перец,15.0,гр.,38
Соевый соус,0.0,по вкусу,38
Растительное масло,3.0,ст.л.,38
Кунжутное семя,2.0,ст.л.,38
Тесто,0.0,заголовок,39
Мука,250.0,гр.,39
Желток,2.0,шт.,39
Сливочное масло,120.0,гр.,39
Сахар,2.0,ст.л.,39
Соль,0.0,по вкусу,39
Холодная вода,1.0,ст.л.,39
Начинка,0.0,заголовок,39
Сок лайма,170.0,мл.,39
Сгущённое молоко,500.0,мл.,39
Желток,4.0,шт.,39
Итальянская меренга,0.0,заголовок,39
Белок,50.0,гр.,39
Сахар,125.0,гр.,39
Вода,30.0,гр.,39
Дополнительно,0.0,заголовок,39
Лайм,1.0,шт.,39
Рис,200.0,гр.,40
Бульон,800.0,мл.,40
Белое вино,80.0,мл.,40
Сливочное масло,20.0,гр.,40
Оливковое масло,10.0,гр.,40
Петрушка,10.0,гр.,40
Чеснок,5.0,гр.,40
Лук шалот,50.0,гр.,40
Сыр Пармезан,30.0,гр.,40
Голубой сыр,70.0,гр.,40
Кедровые орехи,50.0,гр.,40
"Соль, черный перец - по вкусу.",0.0,по вкусу,40
Овощной бульон,0.0,по вкусу,41
Чечевица,200.0,гр.,41
Стебель сельдерея,100.0,гр.,41
Болгарский перец,150.0,гр.,41
Шампиньоны,150.0,гр.,41
Цукини,120.0,гр.,41
Морковь,100.0,гр.,41
Лук репчатый,100.0,гр.,41
Консервированные томаты в собственном соку,100.0,гр.,41
Петрушка,0.0,по вкусу,41
Чеснок,0.0,по вкусу,41
Растительное масло,0.0,по вкусу,41
"для бульона: морковь, 1/3 корня сельдерея (или один стебель), лук, стебли зелени, долька чеснока, лавровый лист, перец горошком.",0.3333333333333333,шт.,41
Консервированный тунец,120.0,гр.,42
Картофель,120.0,гр.,42
Помидоры черри,100.0,гр.,42
Перепелиное яйцо,5.0,шт.,42
Листовой салат,50.0,гр.,42
Зеленая фасоль,100.0,гр.,42
Соус,0.0,заголовок,42
Дижонская горчица,1.0,ст.л.,42
Мед,1.0,ст.л.,42
Винный уксус,1.0,ст.л.,42
Оливковое масло,2.0,ст.л.,42
Сок лимона,0.0,по вкусу,42
Соль,0.0,по вкусу,42
Свежемолотый перец,0.0,по вкусу,42
"Оливки, маслины, красный лук(маринованный) - немного по желанию.",0.0,по вкусу,42
Мука,200.0,гр.,43
Мука цельнозерновая,80.0,гр.,43
Сливочное масло,180.0,гр.,43
Соль,5.0,гр.,43
Сахар,5.0,гр.,43
Холодная вода,125.0,мл.,43
Начинка,0.0,заголовок,43
Клубника,440.0,гр.,43
Сахар,20.0,гр.,43
Немного сахара для посыпки и яйцо с каплей молока для смазывания галет.,0.0,по вкусу,43
Спаржа,400.0,гр.,44
Сливки 20 %,250.0,гр.,44
Сыр,100.0,гр.,44
Соль,0.0,по вкусу,44
Кальмар,800.0,гр.,45
Красный лук,3.0,шт.,45
Сахар,2.0,ст.л.,45
Бальзамический уксус,30.0,мл.,45
Винный уксус,30.0,мл.,45
Петрушка,0.0,по вкусу,45
Оливковое масло,20.0,мл.,45
Сливочное масло,20.0,гр.,45
Дополнительно,0.0,заголовок,45
Спагетти,0.0,по вкусу,45
"Соль, черный перец по вкусу.",0.0,по вкусу,45
Морковь,200.0,гр.,46
Картофель,200.0,гр.,46
Битые огурцы,200.0,гр.,46
Куриная грудка,300.0,гр.,46
Яйцо,4.0,шт.,46
Зелёный консервированный горошек,200.0,гр.,46
Соус Айоли,0.0,заголовок,46
Желток,2.0,шт.,46
Оливковое масло,200.0,мл.,46
Лимонный сок,5.0,мл.,46
Чеснок,6.0,гр.,46
Мед,10.0,гр.,46
Дижонская горчица,10.0,гр.,46
Соль,0.0,по вкусу,46
Черный перец,0.0,по вкусу,46
Киноа,150.0,гр.,47
Огурец,2.0,шт.,47
Помидоры черри,10.0,шт.,47
Руккола,50.0,гр.,47
Тыква,300.0,гр.,47
Тыквенные семечки,10.0,гр.,47
Оливковое масло,0.0,по вкусу,47
Соль,0.0,по вкусу,47
Черный перец,0.0,по вкусу,47
Соус,0.0,заголовок,47
Дижонская горчица,1.0,ст.л.,47
Мед,1.0,ст.л.,47
Бальзамический уксус,1.0,ст.л.,47
Оливковое масло,2.0,ст.л.,47
Рыбный бульон,1.0,шт.,48
Сливки 10%,300.0,мл.,48
Лосось,200.0,гр.,48
Судак,200.0,гр.,48
Морковь,1.0,шт.,48
Помидоры черри,0.0,по вкусу,48
Картофель,0.0,по вкусу,48
Укроп,0.0,по вкусу,48
"Для бульона: рыбные кости (голова, хребет и т.п.), лук-порей и репчатый лук, морковь, стебель сельдерея, стебли укропа, черный перец горошек, лавровый лист.",0.0,по вкусу,48
Фарш,700.0,гр.,49
Лук шалот,2.0,шт.,49
Морковь,1.0,шт.,49
Помидоры черри,5.0,шт.,49
Тимьян,0.0,по вкусу,49
Макароны,300.0,гр.,49
Бульон,100.0,мл.,49
Сливочное масло,30.0,гр.,49
Оливковое масло,0.0,по вкусу,49
Петрушка,0.0,по вкусу,49
"Соль, черный перец - по вкусу.",0.0,по вкусу,49
Тесто,0.0,заголовок,50
Мука,250.0,гр.,50
Желток,2.0,шт.,50
Сливочное масло,120.0,гр.,50
Сахар,2.0,ст.л.,50
Соль,0.0,по вкусу,50
Холодная вода,1.0,ст.л.,50
Начинка,0.0,заголовок,50
Творог,600.0,гр.,50
Сахар,70.0,гр.,50
Кукурузный крахмал,20.0,гр.,50
Яйцо,2.0,шт.,50
Ванильный сахар,10.0,гр.,50
Цедра лимона,1.0,шт.,50
Сливочное масло,70.0,гр.,50
Соль,0.0,по вкусу,50
Клубничный конфитюр,0.0,заголовок,50
Замороженная клубника,150.0,гр.,50
Кукурузный крахмал,15.0,гр.,50
Сахар,75.0,гр.,50
Дополнительно,0.0,заголовок,50
Клубника,100.0,гр.,50
Краснокочанная капуста,0.5,шт.,51
Яблоко,1.0,шт.,51
Куриная грудка,1.0,шт.,51
Лук-шнитт,0.0,по вкусу,51
Заправка,0.0,заголовок,51
Растительное масло,2.0,ст.л.,51
Горчица,0.0,ч.л.,51
Яблочный уксус,1.0,ст.л.,51
Соль,0.0,по вкусу,51
Тесто,0.0,заголовок,52
Мука,350.0,гр.,52
Сливочное масло,100.0,гр.,52
Яйцо,1.0,шт.,52
Сахар,2.0,ст.л.,52
Сметана,100.0,гр.,52
Соль,0.0,по вкусу,52
Сода,0.25,ч.л.,52
Начинка,0.0,заголовок,52
Яблоко,900.0,гр.,52
Кукурузный крахмал,30.0,гр.,52
Мука,20.0,гр.,52
Молотый мускатный орех,0.0,по вкусу,52
Яблочный уксус,1.0,ст.л.,52
Сахар,100.0,гр.,52
Корица,0.0,мало,52
Коньяк,1.0,ст.л.,52
Сливочное масло,30.0,гр.,52
Яйцо + капелька молока для смазывания пирога.,0.0,по вкусу,52
Кальмар,2.0,шт.,53
Соль,0.0,по вкусу,53
Черный перец,0.0,по вкусу,53
Оливковое масло,0.0,по вкусу,53
Для подачи,0.0,заголовок,53
Лимон,0.0,по вкусу,53
Кабачок,600.0,гр.,54
Яйцо,1.0,шт.,54
Мука,0.0,по вкусу,54
Соль,0.0,мало,54
Мед,1.0,ч.л.,54
Пармезан,30.0,гр.,54
Оливковое масло,0.0,по вкусу,54
Мята,0.0,по вкусу,54
Базилик,0.0,по вкусу,54
"Если кабачок слишком ""мокрый"" можно добавить 1 ст.л. кукурузного крахмала",1.0,ст.л.,54
Тунец,400.0,гр.,55
Кунжутное масло,2.0,ст.л.,55
Соевый соус,2.0,ст.л.,55
Сок лайма,1.0,шт.,55
Авокадо,1.0,шт.,55
Кинза,0.0,по вкусу,55
Соль,0.0,по вкусу,55
Черный перец,0.0,по вкусу,55
Дополнительно,0.0,заголовок,55
Водоросли нори,0.0,по вкусу,55
Судак,700.0,гр.,56
Морковь,1.0,шт.,56
Цукини,1.0,шт.,56
Репчатый лук,1.0,шт.,56
Кукурузный крахмал,2.0,ст.л.,56
Яйцо,2.0,шт.,56
Батон нарезной,100.0,гр.,56
Сливки 10%,100.0,мл.,56
Укроп,0.0,по вкусу,56
Соль,0.0,по вкусу,56
Черный перец,0.0,по вкусу,56
Мука,160.0,гр.,57
Сахар,170.0,гр.,57
Яйцо,4.0,шт.,57
Абрикос,8.0,шт.,57
Кукурузный крахмал,2.0,ст.л.,57
Ванильный сахар,17.0,гр.,57
Цедра лимона,1.0,шт.,57
Сок лимона,0.5,шт.,57
Сливочное масло,30.0,гр.,57
Абрикосовый джем,0.0,по вкусу,57
Дорада,2.0,шт.,58
Помидоры,2.0,шт.,58
Свежий базилик,0.0,по вкусу,58
Сливки 20 %,150.0,мл.,58
Голубой сыр,50.0,гр.,58
Оливковое масло,0.0,по вкусу,58
Приправа итальянские травы,0.0,по вкусу,58
Соль,0.0,по вкусу,58
Черный перец,0.0,по вкусу,58
Для подачи,0.0,заголовок,58
Хлеб,0.0,по вкусу,58
Огурец,1.0,кг.,59
Соль,0.0,по вкусу,59
Кешью,100.0,гр.,59
Кинза,0.0,по вкусу,59
Заправка,0.0,заголовок,59
Чеснок,2.0,шт.,59
Соевый соус,3.0,ст.л.,59
Темное кунжутное масло,2.0,ст.л.,59
Рисовый уксус,3.0,ст.л.,59
Сахар,1.0,ст.л.,59
Перец Чили,1.0,шт.,59
Утиная грудка,2.0,шт.,60
Растительное масло,0.0,по вкусу,60
Для маринада,0.0,заголовок,60
Соевый соус,2.0,ст.л.,60
Кунжутное масло,1.0,ст.л.,60
Имбирь,0.0,по вкусу,60
Приправа карри,0.0,по вкусу,60
Гранулированный чеснок,0.0,по вкусу,60
